"date","amount","category","currency","company","source"
"1985-03-22","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1985-03-25","0.0806928","Close Price","USD","AAPL.US","stooq.com"
"1985-03-26","0.0842578","Close Price","USD","AAPL.US","stooq.com"
"1985-03-27","0.0818714","Close Price","USD","AAPL.US","stooq.com"
"1985-03-28","0.0818714","Close Price","USD","AAPL.US","stooq.com"
"1985-03-29","0.082775","Close Price","USD","AAPL.US","stooq.com"
"1985-04-01","0.0806928","Close Price","USD","AAPL.US","stooq.com"
"1985-04-02","0.0785712","Close Price","USD","AAPL.US","stooq.com"
"1985-04-03","0.0785712","Close Price","USD","AAPL.US","stooq.com"
"1985-04-04","0.0779721","Close Price","USD","AAPL.US","stooq.com"
"1985-04-08","0.0731795","Close Price","USD","AAPL.US","stooq.com"
"1985-04-09","0.0731795","Close Price","USD","AAPL.US","stooq.com"
"1985-04-10","0.0785712","Close Price","USD","AAPL.US","stooq.com"
"1985-04-11","0.0800839","Close Price","USD","AAPL.US","stooq.com"
"1985-04-12","0.0779721","Close Price","USD","AAPL.US","stooq.com"
"1985-04-15","0.0800839","Close Price","USD","AAPL.US","stooq.com"
"1985-04-16","0.0806928","Close Price","USD","AAPL.US","stooq.com"
"1985-04-17","0.0845623","Close Price","USD","AAPL.US","stooq.com"
"1985-04-18","0.0854757","Close Price","USD","AAPL.US","stooq.com"
"1985-04-19","0.0842578","Close Price","USD","AAPL.US","stooq.com"
"1985-04-22","0.0806928","Close Price","USD","AAPL.US","stooq.com"
"1985-04-23","0.082775","Close Price","USD","AAPL.US","stooq.com"
"1985-04-24","0.0821661","Close Price","USD","AAPL.US","stooq.com"
"1985-04-25","0.0821661","Close Price","USD","AAPL.US","stooq.com"
"1985-04-26","0.0818714","Close Price","USD","AAPL.US","stooq.com"
"1985-04-29","0.078866","Close Price","USD","AAPL.US","stooq.com"
"1985-04-30","0.0794751","Close Price","USD","AAPL.US","stooq.com"
"1985-05-01","0.0779721","Close Price","USD","AAPL.US","stooq.com"
"1985-05-02","0.0719614","Close Price","USD","AAPL.US","stooq.com"
"1985-05-03","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-05-06","0.0737884","Close Price","USD","AAPL.US","stooq.com"
"1985-05-07","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-05-08","0.0743874","Close Price","USD","AAPL.US","stooq.com"
"1985-05-09","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-05-10","0.0755856","Close Price","USD","AAPL.US","stooq.com"
"1985-05-13","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-05-14","0.0737884","Close Price","USD","AAPL.US","stooq.com"
"1985-05-15","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-05-16","0.0800839","Close Price","USD","AAPL.US","stooq.com"
"1985-05-17","0.0812821","Close Price","USD","AAPL.US","stooq.com"
"1985-05-20","0.0800839","Close Price","USD","AAPL.US","stooq.com"
"1985-05-21","0.0773731","Close Price","USD","AAPL.US","stooq.com"
"1985-05-22","0.0770687","Close Price","USD","AAPL.US","stooq.com"
"1985-05-23","0.0737884","Close Price","USD","AAPL.US","stooq.com"
"1985-05-24","0.0677776","Close Price","USD","AAPL.US","stooq.com"
"1985-05-28","0.0629845","Close Price","USD","AAPL.US","stooq.com"
"1985-05-29","0.0638784","Close Price","USD","AAPL.US","stooq.com"
"1985-05-30","0.0656759","Close Price","USD","AAPL.US","stooq.com"
"1985-05-31","0.0650669","Close Price","USD","AAPL.US","stooq.com"
"1985-06-03","0.0599794","Close Price","USD","AAPL.US","stooq.com"
"1985-06-04","0.0644873","Close Price","USD","AAPL.US","stooq.com"
"1985-06-05","0.0629845","Close Price","USD","AAPL.US","stooq.com"
"1985-06-06","0.0635839","Close Price","USD","AAPL.US","stooq.com"
"1985-06-07","0.0611875","Close Price","USD","AAPL.US","stooq.com"
"1985-06-10","0.0602938","Close Price","USD","AAPL.US","stooq.com"
"1985-06-11","0.0602938","Close Price","USD","AAPL.US","stooq.com"
"1985-06-12","0.0590858","Close Price","USD","AAPL.US","stooq.com"
"1985-06-13","0.0554811","Close Price","USD","AAPL.US","stooq.com"
"1985-06-14","0.0551866","Close Price","USD","AAPL.US","stooq.com"
"1985-06-17","0.0554811","Close Price","USD","AAPL.US","stooq.com"
"1985-06-18","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-06-19","0.0584866","Close Price","USD","AAPL.US","stooq.com"
